,0,1,2,3,4,5
222,2.8e-05,8e-06,5.55e-05,10627300000.0,0.0316688648,2.12784314
223,2.8e-05,9e-06,5.55e-05,10627300000.0,0.0316688648,2.12784314
224,2.85e-05,6e-06,5.2e-05,10381990000.0,0.0310082724,2.12387702
225,2.85e-05,7e-06,5.2e-05,10381990000.0,0.0310082724,2.12387702
226,2.85e-05,8e-06,5.2e-05,10381990000.0,0.0310082724,2.12387702
227,2.85e-05,9e-06,5.2e-05,10381990000.0,0.0310082724,2.12387702
228,2.85e-05,6e-06,5.25e-05,10485800000.0,0.031238149,2.12525883
229,2.85e-05,7e-06,5.25e-05,10485800000.0,0.031238149,2.12525883
230,2.85e-05,8e-06,5.25e-05,10485800000.0,0.031238149,2.12525883
231,2.85e-05,9e-06,5.25e-05,10485800000.0,0.031238149,2.12525883
232,2.85e-05,6e-06,5.3e-05,10587590000.0,0.0314678629,2.12662679
233,2.85e-05,7e-06,5.3e-05,10587590000.0,0.0314678629,2.12662679
234,2.85e-05,8e-06,5.3e-05,10587590000.0,0.0314678629,2.12662679
235,2.85e-05,9e-06,5.3e-05,10587590000.0,0.0314678629,2.12662679
236,2.85e-05,6e-06,5.35e-05,10645800000.0,0.0316973996,2.12798109
237,2.85e-05,7e-06,5.35e-05,10645800000.0,0.0316973996,2.12798109
238,2.85e-05,8e-06,5.35e-05,10645800000.0,0.0316973996,2.12798109
239,2.85e-05,9e-06,5.35e-05,10645800000.0,0.0316973996,2.12798109
240,2.85e-05,6e-06,5.4e-05,10682060000.0,0.0319268017,2.12932222
241,2.85e-05,7e-06,5.4e-05,10682060000.0,0.0319268017,2.12932222
242,2.85e-05,8e-06,5.4e-05,10682060000.0,0.0319268017,2.12932222
243,2.85e-05,9e-06,5.4e-05,10682060000.0,0.0319268017,2.12932222
244,2.85e-05,6e-06,5.45e-05,10715570000.0,0.0321560397,2.13065029
245,2.85e-05,7e-06,5.45e-05,10715570000.0,0.0321560397,2.13065029
246,2.85e-05,8e-06,5.45e-05,10715570000.0,0.0321560397,2.13065029
247,2.85e-05,9e-06,5.45e-05,10715570000.0,0.0321560397,2.13065029
248,2.85e-05,6e-06,5.5e-05,10746570000.0,0.032385118,2.1319656
249,2.85e-05,7e-06,5.5e-05,10746570000.0,0.032385118,2.1319656
250,2.85e-05,8e-06,5.5e-05,10746570000.0,0.032385118,2.1319656
251,2.85e-05,9e-06,5.5e-05,10746570000.0,0.032385118,2.1319656
252,2.85e-05,6e-06,5.55e-05,10775290000.0,0.0326140389,2.13326838
253,2.85e-05,7e-06,5.55e-05,10775290000.0,0.0326140389,2.13326838
254,2.85e-05,8e-06,5.55e-05,10775290000.0,0.0326140389,2.13326838
255,2.85e-05,9e-06,5.55e-05,10775290000.0,0.0326140389,2.13326838
256,2.9e-05,6e-06,5.2e-05,10692540000.0,0.0319685141,2.12953613
257,2.9e-05,7e-06,5.2e-05,10692540000.0,0.0319685141,2.12953613
258,2.9e-05,8e-06,5.2e-05,10692540000.0,0.0319685141,2.12953613
259,2.9e-05,9e-06,5.2e-05,10692540000.0,0.0319685141,2.12953613
260,2.9e-05,6e-06,5.25e-05,10733150000.0,0.0322072605,2.13091703
261,2.9e-05,7e-06,5.25e-05,10733150000.0,0.0322072605,2.13091703
262,2.9e-05,8e-06,5.25e-05,10733150000.0,0.0322072605,2.13091703
263,2.9e-05,9e-06,5.25e-05,10733150000.0,0.0322072605,2.13091703
264,2.9e-05,6e-06,5.3e-05,10770730000.0,0.0324458359,2.13228415
265,2.9e-05,7e-06,5.3e-05,10770730000.0,0.0324458359,2.13228415
266,2.9e-05,8e-06,5.3e-05,10770730000.0,0.0324458359,2.13228415
267,2.9e-05,9e-06,5.3e-05,10770730000.0,0.0324458359,2.13228415
268,2.9e-05,6e-06,5.35e-05,10805570000.0,0.032684244,2.13363777
269,2.9e-05,7e-06,5.35e-05,10805570000.0,0.032684244,2.13363777
